WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
3,1,3,2,1,1,1.1,0.693990635,2,1,0.274529984
1,1,5,2,2,1,1.7,1.301956477,2,1,0.361783723
5,1,3,1,3,1,1.1,0.805939834,1,1,0.223289865
1,1,4,2,4,1,1.4,0.853918951,1,1,0.237605307
3,1,2,2,5,1,0.8,0.46997125,2,1,0.271512368
3,1,1,1,6,1,0.5,0.549965888,1,1,0.295422728
3,1,5,1,7,1,1.7,0.981974193,2,1,0.283030689
5,1,3,2,8,1,1.1,1.062041298,2,1,0.223289865
1,1,2,1,9,1,0.8,1.221907411,1,1,0.241125182
1,1,5,1,10,1,1.7,1.60597641,1,1,0.361783723
5,1,4,1,11,1,1.4,1.174020978,1,1,0.260420735
5,1,2,2,12,1,0.8,0.98201618,2,1,0.290358947
1,1,2,2,13,1,0.8,0.981881199,2,1,0.241125182
5,1,1,1,14,1,0.5,0.742028534,1,1,0.320143591
5,1,1,2,15,1,0.5,0.294018688,2,1,0.320143591
5,1,4,2,16,1,1.4,0.789972506,1,1,0.260420735
5,1,5,2,17,1,1.7,1.398000863,2,1,0.303182927
3,1,1,2,18,1,0.5,1.077995875,2,1,0.295422728
1,1,4,1,19,1,1.4,1.029903547,1,1,0.237605307
5,1,5,1,20,1,1.7,0.933991344,2,1,0.303182927
3,1,4,1,21,1,1.4,1.349911957,1,1,0.321464672
1,1,3,1,22,1,1.1,1.125999873,1,1,0.239658801
1,1,3,2,23,1,1.1,0.96600842,2,1,0.239658801
3,1,4,2,24,1,1.4,1.589932571,2,1,0.321464672
1,1,1,1,25,1,0.5,0.85398582,1,1,0.338838731
3,1,2,1,26,1,0.8,0.693910392,1,1,0.271512368
3,1,3,1,27,1,1.1,0.901990441,2,1,0.274529984
3,1,5,2,28,1,1.7,1.222051412,2,1,0.283030689
1,1,1,2,29,1,0.5,0.245972392,2,1,0.338838731
5,1,2,1,30,1,0.8,0.822036857,2,1,0.290358947
1,1,2,2,31,1,0.8,0.821979008,2,1,0.241125182
3,1,2,1,32,1,0.8,0.869997935,2,1,0.271512368
1,1,1,2,33,1,0.5,0.661944634,2,1,0.338838731
1,1,2,1,34,1,0.8,0.678027661,1,1,0.241125182
5,1,1,1,35,1,0.5,0.229907715,1,1,0.320143591
1,1,5,2,36,1,1.7,0.597948426,2,1,0.361783723
1,1,5,1,37,1,1.7,0.725962924,1,1,0.361783723
5,1,5,2,38,1,1.7,0.998037626,2,1,0.303182927
1,1,4,2,39,1,1.4,0.822032503,1,1,0.237605307
1,1,4,1,40,1,1.4,1.2059208,1,1,0.237605307
3,1,2,2,41,1,0.8,1.14201883,1,1,0.271512368
5,1,5,1,42,1,1.7,1.365970414,2,1,0.303182927
5,1,4,1,43,1,1.4,1.317913231,1,1,0.260420735
3,1,5,1,44,1,1.7,1.478004832,1,1,0.283030689
3,1,3,2,45,1,1.1,0.757879231,2,1,0.274529984
3,1,1,1,46,1,0.5,0.501987704,1,1,0.295422728
5,1,2,1,47,1,0.8,0.485884772,1,1,0.290358947
1,1,3,2,48,1,1.1,0.98197637,1,1,0.239658801
3,1,4,2,49,1,1.4,1.125957264,2,1,0.321464672
5,1,3,1,50,1,1.1,1.029978502,2,1,0.223289865
3,1,4,1,51,1,1.4,1.109931464,2,1,0.321464672
5,1,2,2,52,1,0.8,1.093990261,2,1,0.290358947
5,1,3,2,53,1,1.1,0.853923928,2,1,0.223289865
1,1,1,1,54,1,0.5,0.917933509,1,1,0.338838731
5,1,4,2,55,1,1.4,0.854043047,2,1,0.260420735
3,1,3,1,56,1,1.1,1.061994023,1,1,0.274529984
3,1,5,2,57,1,1.7,1.014045075,1,1,0.283030689
3,1,1,2,58,1,0.5,0.933997253,2,1,0.295422728
1,1,3,1,59,1,1.1,0.949991018,1,1,0.239658801
