target,setsize,dyn,resp,rt,sub,exp,correct
Absent,12,Static,2,2.58300681676883,1,1,1
Absent,8,Static,2,0.935967063976932,1,1,1
Present,16,Static,1,0.794771407661756,1,1,1
Present,8,Static,1,1.24183750258999,1,1,1
Absent,12,Static,2,1.75948528647132,1,1,1
Present,16,Static,1,2.12421491869827,1,1,1
Absent,12,Static,2,2.19479375998162,1,1,1
Absent,16,Static,2,1.88891960489491,1,1,1
Absent,8,Static,2,1.40654350702607,1,1,1
Present,12,Static,1,1.23008533726352,1,1,1
Present,16,Static,1,1.28888985637968,1,1,1
Present,12,Static,2,1.19477212442507,1,1,0
Present,12,Static,1,1.00656602742856,1,1,1
Present,8,Static,1,1.08891332177154,1,1,1
Absent,16,Static,2,2.90070626507804,1,1,1
Absent,8,Static,2,2.84194267665043,1,1,1
Absent,12,Static,2,2.3359290554763,1,1,1
Absent,16,Static,2,2.50065967045521,1,1,1
Absent,16,Static,2,1.86537702514943,1,1,1
Present,16,Static,1,1.11240294624804,1,1,1
Present,8,Static,1,1.40652920183675,1,1,1
Absent,12,Static,2,2.20656421530293,1,1,1
Present,16,Static,1,1.04184721180718,1,1,1
Present,12,Static,1,1.43006848346886,1,1,1
Present,8,Static,1,1.75948375737607,1,1,1
Absent,8,Static,2,1.79476958050145,1,1,1
Present,8,Static,1,0.724203207557366,1,1,1
Absent,16,Static,2,2.40654077029467,1,1,1
Present,12,Static,1,1.2653810574011,1,1,1
Absent,8,Static,2,2.43006705261723,1,1,1
Present,12,Static,1,1.37121638998542,1,1,1
Present,8,Static,1,0.99472492564928,1,1,1
Absent,16,Static,2,2.18302416444385,1,1,1
Present,12,Static,1,1.6183185011796,1,1,1
Present,8,Static,1,1.51243930569217,1,1,1
Absent,8,Static,2,1.75948127159427,1,1,1
Absent,12,Static,2,2.32421099137173,1,1,1
Present,16,Static,1,0.900671965702713,1,1,1
Present,8,Static,1,1.03005900782591,1,1,1
Present,8,Static,1,1.66535881769232,1,1,1
Absent,16,Static,2,2.67710617385455,1,1,1
Absent,8,Static,2,2.05361938134411,1,1,1
Absent,12,Static,2,2.74774565430926,1,1,1
Present,16,Static,1,0.806528452660132,1,1,1
Absent,8,Static,2,1.84185721875838,1,1,1
Absent,12,Static,2,2.60657506967073,1,1,1
Absent,12,Static,2,2.59479854441997,1,1,1
Absent,16,Static,2,2.28890263815629,1,1,1
Present,12,Static,1,0.830087823713257,1,1,1
Present,12,Static,1,0.806504654115997,1,1,1
Present,16,Static,1,1.21834496361043,1,1,1
Present,12,Static,1,1.15950575649549,1,1,1
Absent,8,Static,2,2.44185251218005,1,1,1
Absent,8,Static,2,1.90066300833314,1,1,1
Present,16,Static,1,0.877195776611188,1,1,1
Present,8,Static,1,0.924143445208756,1,1,1
Absent,12,Static,2,2.8419278775782,1,1,1
Present,16,Static,1,0.983007160280977,1,1,1
Absent,16,Static,2,2.54775028804215,1,1,1
Absent,16,Static,2,2.27714229237245,1,1,1
Absent,16,Dynamic,2,3.52420894166244,1,1,1
Present,8,Dynamic,1,0.618335580529674,1,1,1
Absent,8,Dynamic,2,2.6065608045792,1,1,1
Absent,8,Dynamic,2,2.12419557611611,1,1,1
Absent,16,Dynamic,2,2.75949902526736,1,1,1
Absent,12,Dynamic,2,3.20658539006035,1,1,1
Present,16,Dynamic,1,0.688882207563438,1,1,1
Absent,16,Dynamic,2,2.9713316057514,1,1,1
Present,8,Dynamic,1,1.28891588307124,1,1,1
Present,12,Dynamic,1,1.25362060435327,1,1,1
Absent,16,Dynamic,2,2.81832590906924,1,1,1
Absent,12,Dynamic,2,3.30066778775836,1,1,1
Absent,8,Dynamic,2,2.7360020724318,1,1,1
Present,8,Dynamic,1,0.571253200205319,1,1,1
Absent,12,Dynamic,2,4.47717927601843,1,1,1
Present,12,Dynamic,1,1.63008531988635,1,1,1
Present,12,Dynamic,1,2.594810909839,1,1,1
Present,16,Dynamic,1,3.07717175251128,1,1,1
Absent,12,Dynamic,2,4.23014550794869,1,1,1
Present,16,Dynamic,1,0.806555328441391,1,1,1
Present,8,Dynamic,1,1.0418114060576,1,1,1
Present,16,Dynamic,1,0.688897705689669,1,1,1
Present,8,Dynamic,1,1.97125528299512,1,1,1
Present,12,Dynamic,1,1.68890922435821,1,1,1
Present,16,Dynamic,1,3.39477643736973,1,1,1
Absent,8,Dynamic,2,4.12422039717603,1,1,1
Absent,12,Dynamic,1,2.68893112556907,1,1,0
Absent,8,Dynamic,2,4.85366657978557,1,1,1
Present,12,Dynamic,1,0.747748551435507,1,1,1
Absent,16,Dynamic,2,3.60652871330058,1,1,1
Present,12,Static,1,1.71243294003216,1,1,1
Present,16,Static,1,0.994763601125669,1,1,1
Absent,16,Static,2,2.04183605402613,1,1,1
Present,8,Static,1,0.924172965495018,1,1,1
Present,8,Static,1,0.877120155582816,1,1,1
Present,16,Static,1,1.67714623473876,1,1,1
Absent,8,Static,2,1.64183941262309,1,1,1
Present,16,Static,1,1.10065063322509,1,1,1
Absent,12,Static,2,2.79477106682316,1,1,1
Absent,16,Static,2,2.86541018171374,1,1,1
Present,12,Static,1,1.75948604065889,1,1,1
Absent,12,Static,2,2.47713205485525,1,1,1
Present,12,Static,1,0.68886946388011,1,1,1
Absent,8,Static,2,1.28888644832841,1,1,1
Present,16,Static,1,0.971231835315848,1,1,1
Absent,12,Static,2,1.53594619263458,1,1,1
Absent,8,Static,2,1.41830449171539,1,1,1
Absent,8,Static,2,1.64184610408302,1,1,1
Present,8,Static,1,0.900659520086265,1,1,1
Present,12,Static,1,1.47713367383767,1,1,1
Absent,16,Static,2,2.79480512828195,1,1,1
Present,8,Static,1,1.13595729995905,1,1,1
Absent,16,Static,2,3.12421136228477,1,1,1
Absent,16,Static,2,2.10064386123122,1,1,1
Present,8,Static,1,1.32417792536216,1,1,1
Present,12,Static,1,1.35949751889711,1,1,1
Absent,12,Static,2,1.93597209134532,1,1,1
Present,16,Static,1,1.14774938348273,1,1,1
Absent,8,Static,2,1.2888612312945,1,1,1
Absent,12,Static,2,2.41838470871517,1,1,1
Present,16,Static,1,2.05359745707756,1,1,1
Present,16,Static,1,0.983001092687118,1,1,1
Absent,12,Static,2,1.20654860690593,1,1,1
Absent,16,Static,2,1.77128325447302,1,1,1
Absent,12,Static,2,1.24182245056181,1,1,1
Absent,8,Static,2,0.959489569340803,1,1,1
Present,12,Static,1,0.74770616717251,1,1,1
Present,12,Static,1,0.888910802907048,1,1,1
Absent,12,Static,2,2.32419867874887,1,1,1
Present,8,Static,1,0.747716374615266,1,1,1
Present,8,Static,1,0.759491120823441,1,1,1
Present,16,Static,1,1.33602020470425,1,1,1
Absent,8,Static,2,2.75954548188565,1,1,1
Present,8,Static,1,0.747696516096767,1,1,1
Present,12,Static,1,2.23008321470843,1,1,1
Present,8,Static,1,2.27712316030738,1,1,1
Present,16,Static,1,1.35949079234888,1,1,1
Absent,16,Static,2,2.14771731693327,1,1,1
Present,8,Static,1,1.31245347053846,1,1,1
Present,16,Static,1,1.07714541004134,1,1,1
Absent,16,Static,2,2.05361646383426,1,1,1
Absent,16,Static,2,1.95951190662345,1,1,1
Absent,8,Static,2,0.90066901076716,1,1,1
Absent,16,Static,2,2.6065688343333,1,1,1
Absent,12,Static,2,2.07715037224989,1,1,1
Absent,8,Static,2,2.00655502035079,1,1,1
Present,12,Static,1,1.20652423962929,1,1,1
Absent,12,Static,2,2.45365771798606,1,1,1
Present,12,Static,1,1.94777407923539,1,1,1
Absent,8,Static,2,1.35950347354446,1,1,1
Present,8,Dynamic,1,0.935935661727854,1,1,1
Absent,16,Dynamic,2,2.63010369776384,1,1,1
Present,8,Dynamic,1,0.630063388602139,1,1,1
Absent,12,Dynamic,2,3.5477627162818,1,1,1
Absent,16,Dynamic,2,2.20655953378628,1,1,1
Present,12,Dynamic,1,0.606546694869394,1,1,1
Absent,8,Dynamic,2,1.7477319733207,1,1,1
Present,12,Dynamic,1,0.688898009102559,1,1,1
Present,16,Dynamic,1,1.55949628319104,1,1,1
Absent,16,Dynamic,2,3.99481610261137,1,1,1
Present,16,Dynamic,1,1.77125171922853,1,1,1
Absent,16,Dynamic,2,4.37128618902534,1,1,1
Present,12,Dynamic,1,1.03008459309967,1,1,1
Present,12,Dynamic,1,0.653570350730661,1,1,1
Absent,12,Dynamic,2,2.41832351083758,1,1,1
Absent,12,Dynamic,2,2.43009874290692,1,1,1
Present,16,Dynamic,1,0.90073053712149,1,1,1
Present,8,Dynamic,1,0.630057290934928,1,1,1
Absent,8,Dynamic,2,2.65363455600891,1,1,1
Present,8,Dynamic,1,2.47715216432334,1,1,1
